step,epoch,loss,learning_rate,grad_norm,mean_token_accuracy,entropy
10,0.032,2.7123,9e-06,1.9761170148849487,0.4787273835390806,1.4995785504579544
20,0.064,2.342,1.9e-05,1.276168942451477,0.5005775481462479,2.0495904490351675
30,0.096,1.8911,2.9e-05,1.0023671388626099,0.559160279482603,1.8317034780979156
40,0.128,1.5658,3.9000000000000006e-05,0.8513917922973633,0.6075179882347583,1.590073561668396
50,0.16,1.3946,4.9e-05,0.8207110166549683,0.6395861677825451,1.3788821384310723
60,0.192,1.2852,5.9e-05,0.8412299752235413,0.6600764982402325,1.268400739133358
70,0.224,1.2138,6.9e-05,0.7741708755493164,0.6742346361279488,1.2216880455613137
80,0.256,1.1959,7.900000000000001e-05,0.8383668065071106,0.6741028904914856,1.1904724851250648
90,0.288,1.1494,8.900000000000001e-05,0.7763620615005493,0.6841280288994313,1.1490770392119884
100,0.32,1.1608,9.900000000000001e-05,0.7757267355918884,0.6820031113922596,1.1641702674329282
110,0.352,1.1308,9.997161036893001e-05,0.8229807615280151,0.6889569543302059,1.1305915169417857
120,0.384,1.1019,9.987351476173351e-05,0.753839910030365,0.6923351146280765,1.0966613084077834
130,0.416,1.1022,9.970550017915392e-05,0.7183510065078735,0.6917461410164834,1.0994288332760334
140,0.448,1.0802,9.946780216519733e-05,0.716381311416626,0.6985874071717262,1.0803876481950283
150,0.48,1.0686,9.916075395488167e-05,0.7619153261184692,0.7005038671195507,1.0627367861568928
160,0.512,1.0738,9.878478600706595e-05,0.6848992705345154,0.6991471603512764,1.0818589441478252
170,0.544,1.074,9.834042540097874e-05,0.6670137643814087,0.698829086869955,1.0687913045287132
180,0.576,1.0336,9.78282950972922e-05,0.6772799491882324,0.7080388084053993,1.028373022377491
190,0.608,1.0392,9.724911306477728e-05,0.6534848809242249,0.7054370366036892,1.04028245434165
200,0.64,1.0267,9.660369127376468e-05,0.6925143599510193,0.7061370953917503,1.0222547695040702
210,0.672,1.0278,9.589293455782254e-05,0.6668720245361328,0.7065958447754384,1.0309007458388806
220,0.704,1.0222,9.511783934524674e-05,0.5984839200973511,0.7088668875396251,1.021949401497841
230,0.736,1.0251,9.42794922621423e-05,0.6854389905929565,0.7064347609877586,1.0201061055064202
240,0.768,1.0313,9.337906860905393e-05,0.6532133221626282,0.7072353608906269,1.022454495728016
250,0.8,1.0294,9.24178307132817e-05,0.610341489315033,0.7059872508049011,1.0345581144094467
260,0.832,0.9982,9.139712615919163e-05,0.6263213753700256,0.71076725050807,0.9982244983315468
270,0.864,0.9943,9.03183858990022e-05,0.6198111176490784,0.7145871639251709,0.9892233364284039
280,0.896,0.9817,8.918312224669523e-05,0.6490089893341064,0.7183256082236766,0.9861762918531894
290,0.928,1.0163,8.799292675786365e-05,0.6415989398956299,0.7093876168131829,1.008702078461647
300,0.96,0.9906,8.674946799846843e-05,0.6167399287223816,0.7155307695269585,0.9945415735244751
310,0.992,0.9912,8.54544892056326e-05,0.5884941816329956,0.7135254807770253,0.9956710316240788
